1
5,5,20,20,4,4,4,4,34,4,4,5,1,1,1
7,5,18,18,3,3,11,11,20,7,9,3,8,5,1
7,5,22,17,5,2,16,13,13,10,10,1,9,6,1
17,15,20,14,3,3,18,12,12,13,8,1,8,9,1
7,5,18,8,2,3,18,12,12,12,10,1,15,14,1
7,5,17,5,3,3,21,9,12,14,9,4,6,9,1
17,15,18,6,1,3,24,7,11,16,7,4,16,24,1
7,5,18,7,3,2,24,4,14,12,5,3,16,24,1
10,6,20,7,3,3,25,6,11,11,6,5,14,22,1
20,15,24,7,2,3,29,7,6,16,7,6,15,4,1
17,5,25,8,2,2,33,9,0,12,9,0,21,13,1
12,12,30,4,1,2,35,7,0,13,7,0,29,35,1
27,15,36,3,1,2,40,2,0,9,2,0,36,2,1
22,5,46,2,1,1,42,0,0,7,1,0,46,42,1
